time,cumulativeEmpty,cumulativeBatchingIdleReward,batchingIdleTime,batchingIdleFraction
130.5,12.35,77.4,38.7,0.2965517241379310344827586206896552
130.6,12.35,77.4,38.7,0.2963246554364471669218989280245023
130.7,12.35,77.4,38.7,0.2960979342004590665646518745218057
130.8,12.35,77.4,38.7,0.2958715596330275229357798165137615
130.9,12.35,77.4,38.7,0.2956455309396485867074102368220015
131.0,12.35,77.4,38.7,0.2954198473282442748091603053435115
131.1,12.35,77.4,38.7,0.2951945080091533180778032036613272
131.2,12.35,77.4,38.7,0.2949695121951219512195121951219512
131.3,12.35,77.4,38.7,0.2947448591012947448591012947448591
131.4,12.35,77.4,38.7,0.2945205479452054794520547945205479
131.5,12.35,77.4,38.7,0.2942965779467680608365019011406844
131.6,12.35,77.4,38.7,0.2940729483282674772036474164133739
131.7,12.35,77.4,38.7,0.2938496583143507972665148063781321
131.8,12.35,77.4,38.7,0.2936267071320182094081942336874052
131.9,12.35,77.4,38.7,0.2934040940106141015921152388172858
132.0,12.35,77.4,38.7,0.2931818181818181818181818181818182
132.1,12.35,77.4,38.7,0.2929598788796366389099167297501893
132.2,12.35,77.4,38.7,0.2927382753403933434190620272314675
132.3,12.35,77.4,38.7,0.2925170068027210884353741496598639
132.4,12.35,77.4,38.7,0.2922960725075528700906344410876133
132.5,12.35,77.4,38.7,0.2920754716981132075471698113207547
132.6,12.35,77.4,38.7,0.2918552036199095022624434389140271
132.7,12.35,77.4,38.7,0.2916352675207234363225320271288621
132.8,12.35,77.4,38.7,0.2914156626506024096385542168674699
132.9,12.35,77.4,38.7,0.2911963882618510158013544018058691
133.0,12.35,77.4,38.7,0.2909774436090225563909774436090226
133.1,12.35,77.4,38.7,0.2907588279489105935386927122464313
133.2,12.35,77.4,38.7,0.2905405405405405405405405405405405
133.3,12.35,77.4,38.7,0.2903225806451612903225806451612903
133.4,12.35,77.4,38.7,0.2901049475262368815592203898050975
133.5,12.35,77.4,38.7,0.2898876404494382022471910112359551
133.6,12.35,77.4,38.7,0.2896706586826347305389221556886228
133.7,12.35,77.4,38.7,0.2894540014958863126402393418100224
133.8,12.35,77.4,38.7,0.2892376681614349775784753363228700
133.9,12.35,77.4,38.7,0.2890216579536967886482449589245706
134.0,12.35,77.4,38.7,0.2888059701492537313432835820895522
134.1,12.35,77.4,38.7,0.2885906040268456375838926174496644
134.2,12.35,77.4,38.7,0.2883755588673621460506706408345753
134.3,12.35,77.4,38.7,0.2881608339538346984363365599404319
134.4,12.35,77.4,38.7,0.2879464285714285714285714285714286
134.5,12.35,77.4,38.7,0.2877323420074349442379182156133829
134.6,12.35,77.4,38.7,0.2875185735512630014858841010401189
134.7,12.35,77.4,38.7,0.2873051224944320712694877505567929
134.8,12.35,77.4,38.7,0.2870919881305637982195845697329377
134.9,12.35,77.4,38.7,0.2868791697553743513713862120088955
135.0,12.35,77.4,38.7,0.2866666666666666666666666666666667
135.1,12.35,77.4,38.7,0.2864544781643227239082161361954108
135.2,12.35,77.4,38.7,0.2862426035502958579881656804733728
135.3,12.35,77.4,38.7,0.2860310421286031042128603104212860
135.4,12.35,77.4,38.7,0.2858197932053175775480059084194978
135.5,12.35,77.4,38.7,0.2856088560885608856088560885608856
135.6,12.35,77.4,38.7,0.2853982300884955752212389380530973
135.7,12.35,77.4,38.7,0.2851879145173176123802505526897568
135.8,12.35,77.4,38.7,0.2849779086892488954344624447717231
135.9,12.35,77.4,38.7,0.2847682119205298013245033112582781
136.0,12.35,77.4,38.7,0.2845588235294117647058823529411765
136.1,12.35,77.4,38.7,0.2843497428361498897869213813372520
136.2,12.35,77.4,38.7,0.2841409691629955947136563876651982
136.3,12.35,77.4,38.7,0.2839325018341892883345561261922230
136.4,12.35,77.4,38.7,0.2837243401759530791788856304985337
136.5,12.35,77.4,38.7,0.2835164835164835164835164835164835
136.6,12.35,77.4,38.7,0.2833089311859443631039531478770132
136.7,12.35,77.4,38.7,0.2831016825164594001463057790782736
136.8,12.35,77.4,38.7,0.2828947368421052631578947368421053
136.9,12.35,77.4,38.7,0.2826880934989043097151205259313367
137.0,12.35,77.4,38.7,0.2824817518248175182481751824817518
137.1,12.35,77.4,38.7,0.2822757111597374179431072210065646
137.2,12.35,77.4,38.7,0.2820699708454810495626822157434402
137.3,12.35,77.4,38.7,0.2818645302257829570284049526584122
137.4,12.35,77.4,38.7,0.2816593886462882096069868995633188
